Full Name,Educational Qualification,Honorific/Title,Date of Birth,Date of Joining Service,Date of Arrival,Voted/Non-voted,Domicile,Station,Substantive Appointment,Subst. Date,Officiating Appointment,Off. Date
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,P.D. Khan,"A.C., 3rd grade",09-03-1911,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Sialkot,"A.C., 3rd grade",-,D.C.,03-05-1911
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Transit,"A.C., 3rd grade",26-08-1911,-,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,P.D. Khan,"A.C., 3rd grade",01-09-1911,-,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Rawalpindi,"A.C., 3rd grade",-,Dt. J.,06-05-1913
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Rawalpindi,"A.C., 2nd grade",14-09-1913,Dt. J.,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Rawalpindi,"A.C., 3rd grade",26-11-1913,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1881,21-10-1904,29-11-1904,Non-voted,Non-Asiatic,P.D. Khan,"A.C., 3rd grade",02-12-1913,,
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ambala,"A.C., 3rd grade",24-09-1914,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., 2nd grade",18-09-1916,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., 3rd grade",05-11-1916,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., 2nd grade",08-11-1916,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., 1st grade",01-10-1917,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., 2nd grade",11-10-1917,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., 1st grade",25-10-1917,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., 2nd grade",31-10-1917,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., 1st grade",06-12-1917,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., 2nd grade",29-03-1919,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., 1st grade",29-08-1919,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., 2nd grade",25-09-1919,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,-,"A.C., Time Scale",01-12-1919,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Hoshiarpur,"A.C., Time Scale",-,D.C.,09-11-1920
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Simla,"D.C., Time Scale(Home Secretary to G.P.)",23-03-1922,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Lahore,"D.C., Time Scale",30-03-1924,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Simla,"D.C., Time Scale",18-11-1924,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Hissar,"D.C., Time Scale",03-11-1926,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ferozepore,"D. and S. Judge, Time Scale",01-03-1927,-,-
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1880,20-10-1904,28-11-1904,Non-voted,Non-Asiatic,Ferozepore,"D. and S. Judge, Time Scale",,"Addl. Sessions Judge, Multan",21-08-1927
"Abraham, Edgar Garton Furtado","B.A., Oxon.",C.B.,08-04-1881,21-10-1904,29-11-1904,Non-voted,Non-Asiatic,Ferozepore,"D. and S. Judge, Time Scale",09-10-1927,,
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Gurgaon,"A.C., 3rd grade (Settl. Training)",30-11-1903,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Ambala,"A.C., 3rd grade (Settl. Training)",16-02-1904,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Gurgaon,"A.C., 3rd grade",31-01-1905,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Kangra,"A.C., 3rd grade",09-04-1906,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 3rd grade",22-02-1906,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Delhi,"Do., Secy., Delhi Municipality",02-03-1906,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 3rd grade",01-11-1906,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Lyallpur,"A.C., 3rd grade",17-08-1907,-,-
"Addison, The Honourable Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Gujranwala,"A.C., 3rd grade(Spl. Duty)",19-02-1908,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Lyallpur,"A.C., 3rd grade",02-04-1908,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Gurgaon,"A.C., 3rd grade",-,D.C.,26-06-1908
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,In transit,"A.C., 3rd grade",07-09-1908,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Lahore,"A.C., 3rd grade",09-09-1908,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Kangra,"A.C., 3rd grade",17-09-1908,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Kangra,"A.C., 3rd grade",-,Dt. J.,02-10-1908
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Kangra,"A.C., 3rd grade",11-11-1908,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Lahore,"A.C., 3rd grade",21-11-1908,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 3rd grade",-,Dt. J.,21-04-1909
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 3rd grade",16-05-1909,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1880,25-10-1903,01-12-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 3rd grade",-,Dt. J.,21-05-1909
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1881,26-10-1903,02-12-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 3rd grade",28-06-1909,,
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1882,27-10-1903,03-12-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 3rd grade",,Dt. J.,07-08-1910
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1883,28-10-1903,04-12-1903,Non-voted,Non-Asiatic,On leave,"A.C., 3rd grade",25-06-1910,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1884,29-10-1903,05-12-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 3rd grade",04-07-1910,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1885,30-10-1903,06-12-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 3rd grade",-,Dt. J.,25-07-1910
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1886,31-10-1903,07-12-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 3rd grade",26-10-1910,,
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1887,01-11-1903,30-11-1903,Non-voted,Non-Asiatic,Sirsa,"A.C., 3rd grade",09-11-1911,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Amritsar,"A.C., 3rd grade",-,D.C.,19-07-1912
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 3rd grade.( Special Land Acquisition Officer)",01-10-1912,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1879,24-10-1903,30-11-1903,Non-voted,Non-Asiatic,Delhi,"A.C., 2nd grade",17-05-1913,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1880,25-10-1903,01-12-1903,Non-voted,Non-Asiatic,Delhi,"A. C., 3rd grade ( Special Land Acquisition Officer)",30-05-1913,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1881,26-10-1903,02-12-1903,Non-voted,Non-Asiatic,Delhi,"A. C., 2nd grade ( Special Land Acquisition Officer)",01-06-1913,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1882,27-10-1903,03-12-1903,Non-voted,Non-Asiatic,Delhi,"A. C., 3rd grade ( Special Land Acquisition Officer)",30-06-1914,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1883,28-10-1903,04-12-1903,Non-voted,Non-Asiatic,Delhi,"A. C., 2nd grade ( Special Land Acquisition Officer)",28-10-1914,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1884,29-10-1903,05-12-1903,Non-voted,Non-Asiatic,Delhi,"A. C., 3rd grade ( Special Land Acquisition Officer)",15-11-1914,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1885,30-10-1903,06-12-1903,Non-voted,Non-Asiatic,Delhi,"A. C., 2nd grade ( Special Land Acquisition Officer)",06-01-1915,-,-
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1886,31-10-1903,07-12-1903,Non-voted,Non-Asiatic,Jhelum,"A. C., 2nd grade",,D. and S. Judge,28-10-1916
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1887,01-11-1903,08-12-1903,Non-voted,Non-Asiatic,In transit,"A. C., 2nd grade",07-12-1916,,
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1888,02-11-1903,09-12-1903,Non-voted,Non-Asiatic,Lahore,"A. C., 2nd grade",13-12-1916,,
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1889,03-11-1903,10-12-1903,Non-voted,Non-Asiatic,Simla,"Judge, S.C.C.",02-01-1917,,
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1890,04-11-1903,11-12-1903,Non-voted,Non-Asiatic,Simla,"Judge, C.C.C.",12-12-1917,,
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1891,05-11-1903,12-12-1903,Non-voted,Non-Asiatic,Rawalpindi,"A. C., Time Scale",,D. and S. Judge,01-11-1920
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1892,06-11-1903,13-12-1903,Non-voted,Non-Asiatic,Rawalpindi,"A. C., Time Scale",,D. and S. Judge,01-09-1921
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1893,07-11-1903,14-12-1903,Non-voted,Non-Asiatic,Rawalpindi,"A. C., Time Scale",,D. and S. Judge,29-08-1922
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1894,08-11-1903,15-12-1903,Non-voted,Non-Asiatic,Rawalpindi,"D. and S. Judge, Time Scale",01-06-1923,,
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1895,09-11-1903,16-12-1903,Non-voted,Non-Asiatic,Rawalpindi,"D. and S. Judge, Time Scale",01-09-1923,,
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1896,10-11-1903,17-12-1903,Non-voted,Non-Asiatic,Sialkot,"D. and S. Judge, Time Scale",10-11-1924,,
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1897,11-11-1903,18-12-1903,Non-voted,Non-Asiatic,Lahore,"D. and S. Judge, Time Scale",,"Addl. Judge, High Court, Lahore",14-04-1927
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1898,12-11-1903,19-12-1903,Non-voted,Non-Asiatic,Lahore,"D. and S. Judge, Time Scale",,"Addl. Judge, High Court, Lahore",17-10-1925
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1899,13-11-1903,20-12-1903,Non-voted,Non-Asiatic,Lahore,"D. and S. Judge, Time Scale",,"Judge, High Court, Lahore",24-11-1926
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1900,14-11-1903,21-12-1903,Non-voted,Non-Asiatic,Lahore,"Judge, High Court, Lahore",24-01-1927,,
"Addison, The Honâ€™ble Mr. Justice James","M.A., B.Sc., Aberd.",Mr. Justice,13-11-1901,15-11-1903,22-12-1903,Non-voted,Non-Asiatic,Lahore,"Judge, High Court, Lahore",19-09-2027,,
"Akhtar Hussain, Ismaili (Bohras)","B.A., Allahabad",-,01-03-1902,19-10-1926,25-11-1926,Non-voted,"Burhanpur, Central Provinces",Gujranwala,A.C.,25-11-1926,-,-
"Akhtar Hussain, Ismaili (Bohras)","B.A., Allahabad",-,01-03-1902,19-10-1926,25-11-1926,Non-voted,"Burhanpur, Central Provinces",Lyallpur,A.C.,21-02-1927,-,-
"Akhtar Hussain, Ismaili (Bohras)","B.A., Allahabad",-,01-03-1902,19-10-1926,25-11-1926,Non-voted,"Burhanpur, Central Provinces",Gujranwala,A.C.,21-03-1927,-,-
"Akhtar Hussain, Ismaili (Bohras)","B.A., Allahabad",-,01-03-1902,19-10-1926,25-11-1926,Non-voted,"Burhanpur, Central Provinces",Sirsa,A.C.,15-06-1928,-,-
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Ludhiana,A.C.,02-12-1923,-,-
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Lyallpur,A.C.,30-02-1924,-,-
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Ludhiana,A.C.,28-03-1924,-,-
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Attock,A.C.,14-10-1924,-,-
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Rawalpindi,A.C.,12-03-1925,-,-
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Bhakkar,A.C.,05-04-1926,-,-
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Bhakkar,A.C.,24-07-1926,-,-
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Bhakkar,A.C.,24-10-1926,-,-
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Mianwali,A.C.,-,D.C.,13-06-1927
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,In transit,A.C.,02-10-1927,-,-
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Bhakkar,A.C.,15-10-1927,-,-
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Sialkot,A.C.,-,D.C.,10-03-1928
"Amin-ud-Din, Shaikh","B.Sc., M.Sc., Punjab",-,30-06-1897,25-10-1923,02-12-1923,Non-voted,Lahore,Ferozepore,A.C.,16-04-1928,-,-
"Anderson, James Drummond","B.A., Oxon.",-,10-08-1986,24-10-1910,03-12-2010,Non-voted,Non-Asiatic,Gurdaspur,"A. C., 3rd grade",03-12-1910,-,-
"Anderson, James Drummond","B.A., Oxon.",-,11-08-1986,25-10-1910,04-12-2010,Non-voted,Non-Asiatic,Dalhousie,"A. C., 3rd grade",18-10-1911,-,-
"Anderson, James Drummond","B.A., Oxon.",-,12-08-1986,26-10-1910,05-12-2010,Non-voted,Non-Asiatic,Ferozepore,"A. C., 3rd grade",14-11-1911,-,-
"Anderson, James Drummond","B.A., Oxon.",-,13-08-1986,27-10-1910,06-12-2010,Non-voted,Non-Asiatic,Lahore,"A. C., 3rd grade",08-07-1912,-,-
"Anderson, James Drummond","B.A., Oxon.",-,14-08-1986,28-10-1910,07-12-2010,Non-voted,Non-Asiatic,Lahore,"A. C., 3rd grade (Pl. Asst. to D.C.)",02-10-1912,-,-
"Anderson, James Drummond","B.A., Oxon.",-,15-08-1986,29-10-1910,08-12-2010,Non-voted,Non-Asiatic,Lahore,"A. C., 3rd grade",17-11-1912,-,-
"Anderson, James Drummond","B.A., Oxon.",-,16-08-1986,30-10-1910,09-12-2010,Non-voted,Non-Asiatic,Hoshiarpur,"A. C., 3rd grade(Settl. Training)",26-11-1912,-,-
"Anderson, James Drummond","B.A., Oxon.",-,17-08-1986,31-10-1910,10-12-2010,Non-voted,Non-Asiatic,Lahore,"A. C., 3rd grade  (Pl. Asst. to D.C.)",30-04-1913,-,-
"Anderson, James Drummond","B.A., Oxon.",-,18-08-1986,01-11-1910,11-12-2010,Non-voted,Non-Asiatic,Lahore,"A. C., 3rd grade",23-12-1913,-,-
"Anderson, James Drummond","B.A., Oxon.",-,19-08-1986,02-11-1910,12-12-2010,Non-voted,Non-Asiatic,Simla,"A. C., 3rd grade",15-02-1914,-,-
"Anderson, James Drummond","B.A., Oxon.",-,20-08-1986,03-11-1910,13-12-2010,Non-voted,Non-Asiatic,Simla,"A. C., 3rd grade  (A. S. O.)",01-10-1914,-,-
"Anderson, James Drummond","B.A., Oxon.",-,21-08-1986,04-11-1910,14-12-2010,Non-voted,Non-Asiatic,Simla,"A. C., 3rd grade",01-04-1917,-,-
"Anderson, James Drummond","B.A., Oxon.",-,22-08-1986,05-11-1910,15-12-2010,Non-voted,Non-Asiatic,Gujarat,"A. C., 3rd grade",07-08-1917,-,-
"Anderson, James Drummond","B.A., Oxon.",-,23-08-1986,06-11-1910,16-12-2010,Non-voted,Non-Asiatic,Gujarat,"A. C., 3rd grade",-,D.C.,05-03-1917
"Anderson, James Drummond","B.A., Oxon.",-,24-08-1986,07-11-1910,17-12-2010,Non-voted,Non-Asiatic,Rajanpur,"A. C., 3rd grade",21-12-1919,-,-
"Anderson, James Drummond","B.A., Oxon.",-,25-08-1986,08-11-1910,18-12-2010,Non-voted,Non-Asiatic,Rajanpur,"A. C., 3rd grade",27-05-1919,-,-
"Anderson, James Drummond","B.A., Oxon.",-,26-08-1986,09-11-1910,19-12-2010,Non-voted,Non-Asiatic,Rajanpur,"A. C., 2nd grade",10-11-1919,-,-
"Anderson, James Drummond","B.A., Oxon.",-,27-08-1986,10-11-1910,20-12-2010,Non-voted,Non-Asiatic,Rajanpur,"A. C., Time Scale",01-12-1919,-,-
"Anderson, James Drummond","B.A., Oxon.",-,28-08-1986,11-11-1910,21-12-2010,Non-voted,Non-Asiatic,Lahore,"A. C., 3rd grade",-,"Under-Secy. to G.P., sub.",02-01-1920
"Anderson, James Drummond","B.A., Oxon.",-,29-08-1986,12-11-1910,22-12-2010,Non-voted,Non-Asiatic,Muzaffargarh,"A. C., Time Scale, S. O.",19-03-1921,-,-
